"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"1","ENSP00000256078","ENSP00000311697","9606.ENSP00000311697","9606.ENSP00000256078",912,"FGF5","2250","KRAS","3845",0.321,0
"2","ENSP00000363993","ENSP00000157812","9606.ENSP00000157812","9606.ENSP00000363993",997,"PSMC4","5704","PSMB9","5698",1,1
"3","ENSP00000385216","ENSP00000291527","9606.ENSP00000291527","9606.ENSP00000385216",917,"TFF1","7031","NCOA1","8648",0.118,0
"4","ENSP00000361930","ENSP00000221138","9606.ENSP00000221138","9606.ENSP00000361930",933,"PPP2CB","5516","YWHAB","7529",0.242,0
"5","ENSP00000344456","ENSP00000357883","9606.ENSP00000357883","9606.ENSP00000344456",906,"PIP5K1A","8394","CTNNB1","1499",0.309,0
"6","ENSP00000216455","ENSP00000311121","9606.ENSP00000311121","9606.ENSP00000216455",997,"PSMA8","143471","PSMA3","5684",0.649,1
"7","ENSP00000477715","ENSP00000425561","9606.ENSP00000425561","9606.ENSP00000477715",988,"EIF4E","1977","CPEB1","64506",0.297,0
"8","ENSP00000266544","ENSP00000249269","9606.ENSP00000249269","9606.ENSP00000266544",923,"PMPCB","9512","NDUFA9","4704",0.187,0
"9","ENSP00000481622","ENSP00000302640","9606.ENSP00000302640","9606.ENSP00000481622",910,"UBTF","7343","H2BC12L","54145",0.023,0
"10","ENSP00000401980","ENSP00000387334","9606.ENSP00000387334","9606.ENSP00000401980",998,"NLRX1","79671","MAVS","57506",0.606,1
"11","ENSP00000265343","ENSP00000264157","9606.ENSP00000264157","9606.ENSP00000265343",984,"CCNT2","905","AFF4","27125",0.346,0
"12","ENSP00000366098","ENSP00000387286","9606.ENSP00000387286","9606.ENSP00000366098",921,"RAB1A","5861","YIF1A","10897",1,1
"13","ENSP00000322570","ENSP00000221486","9606.ENSP00000221486","9606.ENSP00000322570",919,"RNASEH2A","10535","POLE","5426",0.662,1
"14","ENSP00000481038","ENSP00000215832","9606.ENSP00000215832","9606.ENSP00000481038",907,"MAPK1","5594","CYFIP1","23191",0.327,0
"15","ENSP00000428056","ENSP00000414303","9606.ENSP00000414303","9606.ENSP00000428056",917,"BDNF","627","PIK3R1","5295",0.386,0
"16","ENSP00000333298","ENSP00000216044","9606.ENSP00000216044","9606.ENSP00000333298",965,"GTPBP1","9567","LAMP1","3916",0.23,0
"17","ENSP00000265465","ENSP00000286398","9606.ENSP00000286398","9606.ENSP00000265465",938,"SMC2","10592","POLA2","23649",0.083,0
"18","ENSP00000177742","ENSP00000317376","9606.ENSP00000317376","9606.ENSP00000177742",986,"MRPS11","64963","MRPS34","65993",1,1
"19","ENSP00000378089","ENSP00000359682","9606.ENSP00000359682","9606.ENSP00000378089",972,"BRS3","680","NMB","4828",0.254,0
"20","ENSP00000292169","ENSP00000303754","9606.ENSP00000303754","9606.ENSP00000292169",981,"PPID","5481","S100A1","6271",0.153,0
"21","ENSP00000225577","ENSP00000313007","9606.ENSP00000313007","9606.ENSP00000225577",928,"PABPC1","26986","RPS6KB1","6198",0.264,0
"22","ENSP00000233057","ENSP00000311857","9606.ENSP00000311857","9606.ENSP00000233057",911,"PTPN2","5771","EIF2AK2","5610",0.375,0
"23","ENSP00000365159","ENSP00000261434","9606.ENSP00000261434","9606.ENSP00000365159",916,"LIAS","11019","ISCA1","81689",0.199,0
"24","ENSP00000364855","ENSP00000414109","9606.ENSP00000414109","9606.ENSP00000364855",930,"HJURP","55355","MSH5","4439",0.242,0
"25","ENSP00000364907","ENSP00000420494","9606.ENSP00000420494","9606.ENSP00000364907",964,"LAT2","7462","SYK","6850",0.325,0
"26","ENSP00000406209","ENSP00000265171","9606.ENSP00000265171","9606.ENSP00000406209",924,"EGF","1950","EPN1","29924",0.175,0
"27","ENSP00000417963","ENSP00000313995","9606.ENSP00000313995","9606.ENSP00000417963",918,"KLHDC3","116138","PPP2R5D","5528",0.198,0
