"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label","correlation","pred_prob"
"1","ENSP00000256078","ENSP00000311697","9606.ENSP00000311697","9606.ENSP00000256078",912,"FGF5","2250","KRAS","3845",0.321,0,0.164003218993914,0.119781018559907
"3","ENSP00000385216","ENSP00000291527","9606.ENSP00000291527","9606.ENSP00000385216",917,"TFF1","7031","NCOA1","8648",0.118,0,0.0408564917847707,0.127742864827877
"4","ENSP00000361930","ENSP00000221138","9606.ENSP00000221138","9606.ENSP00000361930",933,"PPP2CB","5516","YWHAB","7529",0.242,0,0.129704635177242,0.213151967402944
"7","ENSP00000477715","ENSP00000425561","9606.ENSP00000425561","9606.ENSP00000477715",988,"EIF4E","1977","CPEB1","64506",0.297,0,0.121834935178215,0.636826867939026
"12","ENSP00000366098","ENSP00000387286","9606.ENSP00000387286","9606.ENSP00000366098",921,"RAB1A","5861","YIF1A","10897",1,1,-0.235811426801921,0.11894011830272
"14","ENSP00000481038","ENSP00000215832","9606.ENSP00000215832","9606.ENSP00000481038",907,"MAPK1","5594","CYFIP1","23191",0.327,0,0.404831998427438,0.12181670126131
"15","ENSP00000428056","ENSP00000414303","9606.ENSP00000414303","9606.ENSP00000428056",917,"BDNF","627","PIK3R1","5295",0.386,0,-0.00479373612372409,0.123793310803177
"21","ENSP00000225577","ENSP00000313007","9606.ENSP00000313007","9606.ENSP00000225577",928,"PABPC1","26986","RPS6KB1","6198",0.264,0,0.0147247590056275,0.172664383266961
"22","ENSP00000233057","ENSP00000311857","9606.ENSP00000311857","9606.ENSP00000233057",911,"PTPN2","5771","EIF2AK2","5610",0.375,0,0.146423320513689,0.114821601357058
"27","ENSP00000417963","ENSP00000313995","9606.ENSP00000313995","9606.ENSP00000417963",918,"KLHDC3","116138","PPP2R5D","5528",0.198,0,0.571266587070576,0.187003971844768
"33","ENSP00000258302","ENSP00000297313","9606.ENSP00000297313","9606.ENSP00000258302",910,"RGS20","8601","RGS8","85397",0.678,1,0.0431672832038079,0.10361059975104
"43","ENSP00000221700","ENSP00000311095","9606.ENSP00000311095","9606.ENSP00000221700",926,"CYP4A11","1579","CYP4F2","8529",0.775,1,0.694621224221302,0.249746355279434
"50","ENSP00000263025","ENSP00000415151","9606.ENSP00000415151","9606.ENSP00000263025",902,"CBFB","865","MAPK3","5595",0.217,0,0.1850946602445,0.0895936804564053
"53","ENSP00000264389","ENSP00000244007","9606.ENSP00000244007","9606.ENSP00000264389",977,"PLCG1","5335","COPS4","51138",0.098,0,-0.00724382914693524,0.52130541276705
"54","ENSP00000220849","ENSP00000447001","9606.ENSP00000447001","9606.ENSP00000220849",907,"RPL18","6141","EIF3E","3646",0.632,1,0.462536203000055,0.126758508616503
"57","ENSP00000231487","ENSP00000281623","9606.ENSP00000281623","9606.ENSP00000231487",996,"FBXO4","26272","SKP1","6500",0.715,1,0.0341779242201859,0.682480861600383
"60","ENSP00000322439","ENSP00000317159","9606.ENSP00000317159","9606.ENSP00000322439",923,"CYC1","1537","TUFM","7284",0.133,0,0.448326524242578,0.198452710713149
"62","ENSP00000401980","ENSP00000374552","9606.ENSP00000374552","9606.ENSP00000401980",912,"RNF216","54476","MAVS","57506",0.372,0,0.509448900946119,0.151528609147301
"65","ENSP00000313581","ENSP00000314151","9606.ENSP00000314151","9606.ENSP00000313581",913,"KLK3","354","KLK2","3817",0.698,1,0.831157168734093,0.192254294965935
"66","ENSP00000272418","ENSP00000449884","9606.ENSP00000449884","9606.ENSP00000272418",992,"MRPL42","28977","MRPS5","64969",1,1,0.0919732693565057,0.66248730693468
"73","ENSP00000262904","ENSP00000302967","9606.ENSP00000302967","9606.ENSP00000262904",938,"HDAC3","8841","E2F3","1871",0.383,0,-0.151286990165577,0.20476039726999
"82","ENSP00000264563","ENSP00000296870","9606.ENSP00000296870","9606.ENSP00000264563",961,"IL3","3562","IL11","3589",0.616,1,-0.0870008482890334,0.372242666531403
"85","ENSP00000304802","ENSP00000416658","9606.ENSP00000416658","9606.ENSP00000304802",943,"NME6","10201","DTYMK","1841",0.043,0,0.616387678929263,0.358393620627695
"92","ENSP00000263270","ENSP00000309415","9606.ENSP00000309415","9606.ENSP00000263270",919,"CLTB","1212","AP2S1","1175",1,1,0.576619803157972,0.192894046492176
"97","ENSP00000300403","ENSP00000343701","9606.ENSP00000343701","9606.ENSP00000300403",944,"KPNA1","3836","TPX2","22974",0.152,0,-0.160512978269997,0.238731939837301
"102","ENSP00000264709","ENSP00000269397","9606.ENSP00000269397","9606.ENSP00000264709",988,"CBX4","8535","DNMT3A","1788",0.678,1,0.256260700981085,0.660921314734796
