"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label","correlation","pred_prob"
"1","ENSP00000447001","ENSP00000309830","9606.ENSP00000309830","9606.ENSP00000447001",999,"RPL38","6169","RPL18","6141",0.809,1,0.822373653006385,0.815727590514623
"2","ENSP00000278572","ENSP00000311430","9606.ENSP00000311430","9606.ENSP00000278572",999,"RPL4","6124","RPS3","6188",0.278,0,0.805854548622144,0.813765535157745
"3","ENSP00000259469","ENSP00000341885","9606.ENSP00000341885","9606.ENSP00000259469",999,"RPS2","6187","RPL35","11224",0.745,1,0.776256762209953,0.810209847432864
"4","ENSP00000341885","ENSP00000379506","9606.ENSP00000379506","9606.ENSP00000341885",999,"RPL14","9045","RPS2","6187",0.649,1,0.768828780381142,0.80930937941239
"5","ENSP00000464342","ENSP00000464813","9606.ENSP00000464813","9606.ENSP00000464342",999,"RPL27","6155","RPL36","25873",0.851,1,0.763221723261179,0.80862749525238
"6","ENSP00000249071","ENSP00000367851","9606.ENSP00000367851","9606.ENSP00000249071",998,"CYBB","1536","RAC2","5880",0.288,0,0.805656710937022,0.808522828431215
"7","ENSP00000464813","ENSP00000435777","9606.ENSP00000435777","9606.ENSP00000464813",999,"RPS13","6207","RPL27","6155",0.741,1,0.762251650339105,0.808509334286383
"8","ENSP00000258424","ENSP00000367939","9606.ENSP00000367939","9606.ENSP00000258424",999,"UQCRQ","27089","COX5B","1329",0.727,1,0.725812584799239,0.804030466317821
"9","ENSP00000215071","ENSP00000157812","9606.ENSP00000157812","9606.ENSP00000215071",999,"PSMC4","5704","PSMD8","5714",1,1,0.707086271614919,0.801698110023303
"10","ENSP00000397441","ENSP00000258654","9606.ENSP00000258654","9606.ENSP00000397441",999,"COG3","83548","COG6","57511",0.76,1,0.618275829965491,0.790352820652253
"11","ENSP00000346001","ENSP00000272317","9606.ENSP00000272317","9606.ENSP00000346001",998,"RPS27A","6233","RPL3","6122",0.683,1,0.60407443089475,0.782757382851817
"12","ENSP00000263253","ENSP00000262367","9606.ENSP00000262367","9606.ENSP00000263253",996,"CREBBP","1387","EP300","2033",0.689,1,0.67556316124967,0.780729974602564
"13","ENSP00000346027","ENSP00000435777","9606.ENSP00000435777","9606.ENSP00000346027",999,"RPS13","6207","RPL21","6144",0.714,1,0.537395955213137,0.779611903178977
"14","ENSP00000272348","ENSP00000266079","9606.ENSP00000266079","9606.ENSP00000272348",999,"PRPF6","24148","SNRPG","6637",0.82,1,0.516764955766527,0.776809745463654
"15","ENSP00000265728","ENSP00000405726","9606.ENSP00000405726","9606.ENSP00000265728",995,"CDC45","8318","DBF4","10926",0.317,0,0.65122634501203,0.77148300136019
"16","ENSP00000394394","ENSP00000426654","9606.ENSP00000426654","9606.ENSP00000394394",999,"ANAPC4","29945","ANAPC7","51434",0.835,1,0.47496673041699,0.771055082855431
"17","ENSP00000276689","ENSP00000327268","9606.ENSP00000327268","9606.ENSP00000276689",999,"NDUFV2","4729","NDUFB9","4715",0.639,1,0.427138969697643,0.764343309204721
"18","ENSP00000242067","ENSP00000317469","9606.ENSP00000317469","9606.ENSP00000242067",999,"BBS1","582","BBS9","27241",0.675,1,0.391330505726292,0.759229889854625
"19","ENSP00000380227","ENSP00000267082","9606.ENSP00000267082","9606.ENSP00000380227",999,"ITGB7","3695","ITGA4","3676",0.785,1,0.374023324988876,0.756731439089623
"20","ENSP00000357879","ENSP00000391211","9606.ENSP00000391211","9606.ENSP00000357879",999,"PSMC2","5701","PSMD4","5710",1,1,0.365534383652951,0.755499570335707
